|       Time |     Offset |        Seq |    latency 
| 1073901824265 |          0 |          0 |       2.24
| 1073902343246 |          1 |          1 |       1.04
| 1073902582957 |          2 |          2 |       0.65
| 1073902983222 |          3 |          3 |       0.78
| 1073903923282 |          4 |          4 |       0.78
| 1073903943647 |          5 |          5 |       1.02
| 1073904593354 |          6 |          6 |       0.64
| 1073905253628 |          7 |          7 |       0.78
| 1073905433670 |          8 |          8 |       0.70
| 1073905753970 |          9 |          9 |       0.86
| 1073906463937 |         10 |         10 |       0.73
| 1073907184230 |         11 |         11 |       0.87
| 1073907324148 |         12 |         12 |       0.66
| 1073908194310 |         13 |         13 |       0.69
| 1073908774425 |         14 |         14 |       0.75
| 1073909284685 |         15 |         15 |       0.86
| 1073910274793 |         16 |         16 |       0.84
| 1073910794767 |         17 |         17 |       0.71
| 1073911064848 |         18 |         18 |       0.69
| 1073911405078 |         19 |         19 |       0.82
| 1073911515099 |         20 |         20 |       0.73
| 1073912165090 |         21 |         21 |       0.58
| 1073912205309 |         22 |         22 |       0.70
| 1073912995365 |         23 |         23 |       0.69
| 1073913025643 |         24 |         24 |       0.84
| 1073913605756 |         25 |         25 |       0.83
| 1073914595896 |         26 |         26 |       0.86
| 1073915176088 |         27 |         27 |       0.89
| 1073916036212 |         28 |         28 |       0.88
| 1073917006390 |         29 |         29 |       0.93
| 1073917556333 |         30 |         30 |       0.77
| 1073918086476 |         31 |         31 |       0.79
| 1073918566657 |         32 |         32 |       0.85
| 1073919356794 |         33 |         33 |       0.83
| 1073920286938 |         34 |         34 |       0.82
| 1073921057179 |         35 |         35 |       0.98
| 1073921207194 |         36 |         36 |       0.88
| 1073921787116 |         37 |         37 |       0.70
| 1073922207285 |         38 |         38 |       0.72
| 1073922887507 |         39 |         39 |       0.86
| 1073923137637 |         40 |         40 |       0.86
| 1073923627676 |         41 |         41 |       0.79
| 1073924030152 |         42 |         42 |       3.12
| 1073924768047 |         43 |         43 |       0.87
| 1073925117932 |         44 |         44 |       0.64
| 1073925438247 |         45 |         45 |       0.85
| 1073925678251 |         46 |         46 |       0.78
| 1073926008332 |         47 |         47 |       0.71
| 1073926848366 |         48 |         48 |       0.69
| 1073927348648 |         49 |         49 |       0.83
| 1073927368729 |         50 |         50 |       0.79
| 1073927668815 |         51 |         51 |       0.77
| 1073928178945 |         52 |         52 |       0.76
| 1073928239278 |         53 |         53 |       0.97
| 1073928319119 |         54 |         54 |       0.70
| 1073928849269 |         55 |         55 |       0.71
| 1073929479355 |         56 |         56 |       0.70
| 1073929539428 |         57 |         57 |       0.64
| 1073929999672 |         58 |         58 |       0.77
| 1073930839743 |         59 |         59 |       0.75
| 1073930869900 |         60 |         60 |       0.78
| 1073931869863 |         61 |         61 |       0.69
| 1073932240117 |         62 |         62 |       0.82
| 1073933100143 |         63 |         63 |       0.76
| 1073933240140 |         64 |         64 |       0.65
| 1073933880386 |         65 |         65 |       0.84
| 1073934510476 |         66 |         66 |       0.81
| 1073934790600 |         67 |         67 |       0.82
| 1073935000563 |         68 |         68 |       0.66
| 1073935400800 |         69 |         69 |       0.77
| 1073936351105 |         70 |         70 |       0.93
| 1073937161248 |         71 |         71 |       0.93
| 1073938041269 |         72 |         72 |       0.83
| 1073938741390 |         73 |         73 |       0.84
| 1073939281430 |         74 |         74 |       0.72
| 1073939501719 |         75 |         75 |       0.90
| 1073939511589 |         76 |         76 |       0.64
| 1073940281827 |         77 |         77 |       0.73
| 1073941182107 |         78 |         78 |       0.88
| 1073941382258 |         79 |         79 |       0.87
| 1073942002175 |         80 |         80 |       0.70
| 1073942922423 |         81 |         81 |       0.81
| 1073943412395 |         82 |         82 |       0.67
| 1073943532508 |         83 |         83 |       0.65
| 1073944502864 |         84 |         84 |       0.87
| 1073945422992 |         85 |         85 |       0.87
| 1073946423152 |         86 |         86 |       0.88
| 1073947373106 |         87 |         87 |       0.69
| 1073947713185 |         88 |         88 |       0.66
| 1073948163351 |         89 |         89 |       0.68
| 1073948293676 |         90 |         90 |       0.88
| 1073949003678 |         91 |         91 |       0.77
| 1073949803797 |         92 |         92 |       0.81
| 1073950293860 |         93 |         93 |       0.72
| 1073950864078 |         94 |         94 |       0.82
| 1073951154261 |         95 |         95 |       0.87
| 1073951284228 |         96 |         96 |       0.70
| 1073951474417 |         97 |         97 |       0.77
| 1073952384551 |         98 |         98 |       0.80
| 1073953074728 |         99 |         99 |       0.87
| 1073953664911 |        100 |        100 |       0.96
| 1073953875084 |        101 |        101 |       0.92
| 1073954364902 |        102 |        102 |       0.68
| 1073954824992 |        103 |        103 |       0.68
| 1073955725397 |        104 |        104 |       0.95
| 1073956095506 |        105 |        105 |       0.93
| 1073956125461 |        106 |        106 |       0.75
| 1073956385503 |        107 |        107 |       0.69
| 1073956875516 |        108 |        108 |       0.61
| 1073957155716 |        109 |        109 |       0.69
| 1073957605983 |        110 |        110 |       0.87
| 1073957715949 |        111 |        111 |       0.71
| 1073958266060 |        112 |        112 |       0.67
| 1073958566106 |        113 |        113 |       0.61
| 1073959146244 |        114 |        114 |       0.67
| 1073959666389 |        115 |        115 |       0.71
