|       Host |       Time |     Offset |        Seq |    latency 
-191
| nfvha-comp-01.oot.lab.eng.bos.r| 1124488585088 |          0 |          0 |       1.23
| nfvha-ctrl-03.oot.lab.eng.bos.r| 1124488585421 |          1 |          0 |       2.23
| nfvha-comp-02.oot.lab.eng.bos.r| 1124488585433 |          2 |          0 |       1.02
| nfvha-comp-06.oot.lab.eng.bos.r| 1124488585436 |          3 |          0 |       0.84
| nfvha-comp-05.oot.lab.eng.bos.r| 1124488585441 |          4 |          0 |       0.69
| nfvha-comp-03.oot.lab.eng.bos.r| 1124488585935 |          5 |          0 |       0.63
| nfvha-comp-01.oot.lab.eng.bos.r| 1124488804766 |          6 |          1 |       0.72
| nfvha-comp-05.oot.lab.eng.bos.r| 1124488965671 |          7 |          1 |       0.72
| nfvha-comp-02.oot.lab.eng.bos.r| 1124489095599 |          8 |          1 |       0.93
| nfvha-comp-01.oot.lab.eng.bos.r| 1124489164881 |          9 |          2 |       0.72
| nfvha-comp-05.oot.lab.eng.bos.r| 1124489185782 |         10 |          2 |       0.70
| nfvha-comp-06.oot.lab.eng.bos.r| 1124489285768 |         11 |          1 |       0.92
| nfvha-comp-03.oot.lab.eng.bos.r| 1124489286173 |         12 |          1 |       0.68
| nfvha-comp-03.oot.lab.eng.bos.r| 1124489456355 |         13 |          2 |       0.73
| nfvha-comp-01.oot.lab.eng.bos.r| 1124489494998 |         14 |          3 |       0.73
| nfvha-ctrl-03.oot.lab.eng.bos.r| 1124489515303 |         15 |          1 |       1.89
| nfvha-comp-05.oot.lab.eng.bos.r| 1124489616023 |         16 |          3 |       0.77
| nfvha-comp-03.oot.lab.eng.bos.r| 1124489916565 |         17 |          3 |       0.76
| nfvha-comp-02.oot.lab.eng.bos.r| 1124489955732 |         18 |          2 |       0.84
| nfvha-comp-05.oot.lab.eng.bos.r| 1124490025952 |         19 |          4 |       0.60
| nfvha-comp-05.oot.lab.eng.bos.r| 1124490036308 |         20 |          5 |       0.82
| nfvha-comp-06.oot.lab.eng.bos.r| 1124490065915 |         21 |          2 |       0.89
| nfvha-comp-05.oot.lab.eng.bos.r| 1124495201481 |         22 |          0 |       0.71
| nfvha-comp-01.oot.lab.eng.bos.r| 1124495201796 |         23 |          0 |       1.05
| nfvha-ctrl-03.oot.lab.eng.bos.r| 1124495201801 |         24 |          0 |       2.28
| nfvha-comp-02.oot.lab.eng.bos.r| 1124495201804 |         25 |          0 |       0.97
| nfvha-comp-03.oot.lab.eng.bos.r| 1124495201807 |         26 |          0 |       0.88
| nfvha-comp-06.oot.lab.eng.bos.r| 1124495201809 |         27 |          0 |       1.20
| nfvha-comp-03.oot.lab.eng.bos.r| 1124495312147 |         28 |          1 |       0.83
| nfvha-comp-02.oot.lab.eng.bos.r| 1124495361828 |         29 |          1 |       0.78
| nfvha-comp-02.oot.lab.eng.bos.r| 1124495411945 |         30 |          2 |       0.77
| nfvha-comp-01.oot.lab.eng.bos.r| 1124495491767 |         31 |          1 |       0.77
| nfvha-comp-02.oot.lab.eng.bos.r| 1124495532164 |         32 |          3 |       0.85
| nfvha-comp-05.oot.lab.eng.bos.r| 1124495581568 |         33 |          1 |       0.62
| nfvha-comp-02.oot.lab.eng.bos.r| 1124495602258 |         34 |          4 |       0.81
| nfvha-comp-06.oot.lab.eng.bos.r| 1124495631784 |         35 |          1 |       0.86
| nfvha-comp-06.oot.lab.eng.bos.r| 1124495661863 |         36 |          2 |       0.80
| nfvha-comp-05.oot.lab.eng.bos.r| 1124495721682 |         37 |          2 |       0.61
| nfvha-ctrl-03.oot.lab.eng.bos.r| 1124496061655 |         38 |          1 |       1.91
| nfvha-comp-03.oot.lab.eng.bos.r| 1124496122394 |         39 |          2 |       0.94
| nfvha-comp-05.oot.lab.eng.bos.r| 1124496171740 |         40 |          3 |       0.55
| nfvha-comp-02.oot.lab.eng.bos.r| 1124496422575 |         41 |          5 |       0.91
| nfvha-ctrl-03.oot.lab.eng.bos.r| 1124496434317 |         42 |          2 |       4.42
| nfvha-comp-01.oot.lab.eng.bos.r| 1124496434593 |         43 |          2 |       3.47
