
|       Host |       Time |     Offset |        Seq |    latency 
-191
| nfvha-comp-07.oot.lab.eng.bos.r| 1729557232422 |       9239 |          0 |       4.51
| nfvha-comp-07.oot.lab.eng.bos.r| 1729557949581 |       9240 |          1 |       1.48
| nfvha-comp-07.oot.lab.eng.bos.r| 1729557968970 |       9241 |          2 |       0.73
| nfvha-comp-07.oot.lab.eng.bos.r| 1729558369205 |       9242 |          3 |       0.86
| nfvha-comp-07.oot.lab.eng.bos.r| 1729558829478 |       9243 |          4 |       1.03
| nfvha-comp-07.oot.lab.eng.bos.r| 1729558929236 |       9244 |          5 |       0.64
| nfvha-comp-07.oot.lab.eng.bos.r| 1729559159515 |       9245 |          6 |       0.80
| nfvha-comp-07.oot.lab.eng.bos.r| 1729559359740 |       9246 |          7 |       0.88
| nfvha-comp-07.oot.lab.eng.bos.r| 1729559559762 |       9247 |          8 |       0.81
| nfvha-comp-07.oot.lab.eng.bos.r| 1729560279902 |       9248 |          9 |       0.84
| nfvha-comp-07.oot.lab.eng.bos.| 1729560889940 |       9249 |         10 |       0.72
| nfvha-comp-07.oot.lab.eng.bos.| 1729561250102 |       9250 |         11 |       0.77
| nfvha-comp-07.oot.lab.eng.bos.| 1729561931271 |       9251 |         12 |       1.79
| nfvha-comp-07.oot.lab.eng.bos.| 1729562150411 |       9252 |         13 |       0.80
| nfvha-comp-07.oot.lab.eng.bos.| 1729562600520 |       9253 |         14 |       0.80
| nfvha-comp-07.oot.lab.eng.bos.| 1729563350747 |       9254 |         15 |       0.90
| nfvha-comp-07.oot.lab.eng.bos.| 1729564120970 |       9255 |         16 |       1.00
| nfvha-comp-07.oot.lab.eng.bos.| 1729564510891 |       9256 |         17 |       0.79
| nfvha-comp-07.oot.lab.eng.bos.| 1729565101129 |       9257 |         18 |       0.90
| nfvha-comp-07.oot.lab.eng.bos.| 1729565961059 |       9258 |         19 |       0.71
| nfvha-comp-07.oot.lab.eng.bos.| 1729566211135 |       9259 |         20 |       0.67
| nfvha-comp-07.oot.lab.eng.bos.| 1729566411214 |       9260 |         21 |       0.62
| nfvha-comp-07.oot.lab.eng.bos.| 1729566441304 |       9261 |         22 |       0.58
| nfvha-comp-07.oot.lab.eng.bos.| 1729567121562 |       9262 |         23 |       0.69
| nfvha-comp-07.oot.lab.eng.bos.| 1729567902460 |       9263 |         24 |       1.44
| nfvha-comp-07.oot.lab.eng.bos.| 1729568611829 |       9264 |         25 |       0.73
| nfvha-comp-07.oot.lab.eng.bos.| 1729569422094 |       9265 |         26 |       0.88
| nfvha-comp-07.oot.lab.eng.bos.| 1729569943051 |       9266 |         27 |       1.69
| nfvha-comp-07.oot.lab.eng.bos.| 1729570472224 |       9267 |         28 |       0.77
| nfvha-comp-07.oot.lab.eng.bos.| 1729571302446 |       9268 |         29 |       0.86
| nfvha-comp-07.oot.lab.eng.bos.| 1729571332478 |       9269 |         30 |       0.75
| nfvha-comp-07.oot.lab.eng.bos.| 1729572322892 |       9270 |         31 |       1.04
| nfvha-comp-07.oot.lab.eng.bos.| 1729572702996 |       9271 |         32 |       1.05
| nfvha-comp-07.oot.lab.eng.bos.| 1729573612730 |       9272 |         33 |       0.66
| nfvha-comp-07.oot.lab.eng.bos.| 1729574123098 |       9273 |         34 |       0.91
| nfvha-comp-07.oot.lab.eng.bos.| 1729574193051 |       9274 |         35 |       0.74
| nfvha-comp-07.oot.lab.eng.bos.| 1729574623439 |       9275 |         36 |       1.00
| nfvha-comp-07.oot.lab.eng.bos.| 1729575203495 |       9276 |         37 |       0.93
| nfvha-comp-07.oot.lab.eng.bos.| 1729575553398 |       9277 |         38 |       0.71
| nfvha-comp-07.oot.lab.eng.bos.| 1729575573686 |       9278 |         39 |       0.85
| nfvha-comp-07.oot.lab.eng.bos.| 1729576573780 |       9279 |         40 |       0.83
| nfvha-comp-07.oot.lab.eng.bos.| 1729577083995 |       9280 |         41 |       0.92
| nfvha-comp-07.oot.lab.eng.bos.| 1729577213850 |       9281 |         42 |       0.68
| nfvha-comp-07.oot.lab.eng.bos.| 1729577844056 |       9282 |         43 |       0.78
| nfvha-comp-07.oot.lab.eng.bos.| 1729577954122 |       9283 |         44 |       0.70
| nfvha-comp-07.oot.lab.eng.bos.| 1729578284431 |       9284 |         45 |       0.89
| nfvha-comp-07.oot.lab.eng.bos.| 1729578644985 |       9285 |         46 |       1.30
| nfvha-comp-07.oot.lab.eng.bos.| 1729578914587 |       9286 |         47 |       0.79
| nfvha-comp-07.oot.lab.eng.bos.| 1729579314793 |       9287 |         48 |       0.87
| nfvha-comp-07.oot.lab.eng.bos.| 1729580064846 |       9288 |         49 |       0.79
| nfvha-comp-07.oot.lab.eng.bos.| 1729580714991 |       9289 |         50 |       0.84
| nfvha-comp-07.oot.lab.eng.bos.| 1729581075068 |       9290 |         51 |       0.78
| nfvha-comp-07.oot.lab.eng.bos.| 1729581495284 |       9291 |         52 |       0.90
| nfvha-comp-07.oot.lab.eng.bos.| 1729581725301 |       9292 |         53 |       0.80
| nfvha-comp-07.oot.lab.eng.bos.| 1729582265404 |       9293 |         54 |       0.76
| nfvha-comp-07.oot.lab.eng.bos.| 1729583155629 |       9294 |         55 |       0.84
| nfvha-comp-07.oot.lab.eng.bos.| 1729583815640 |       9295 |         56 |       0.76
| nfvha-comp-07.oot.lab.eng.bos.| 1729583846151 |       9296 |         57 |       1.11
| nfvha-comp-07.oot.lab.eng.bos.| 1729583965786 |       9297 |         58 |       0.61
| nfvha-comp-07.oot.lab.eng.bos.| 1729584116111 |       9298 |         59 |       0.81
| nfvha-comp-07.oot.lab.eng.bos.| 1729584916794 |       9299 |         60 |       1.33
| nfvha-comp-07.oot.lab.eng.bos.| 1729585616171 |       9300 |         61 |       0.61
| nfvha-comp-07.oot.lab.eng.bos.| 1729585756686 |       9301 |         62 |       0.99
| nfvha-comp-07.oot.lab.eng.bos.| 1729586346627 |       9302 |         63 |       0.81
| nfvha-comp-07.oot.lab.eng.bos.| 1729586546676 |       9303 |         64 |       0.75
